person_id,vehicle_id,age_range,gender,majority_minority,education,income,married,children,postal_code
673660,673660,65+,female,majority,high school,upper class,1,1,10238
945867,945867,16-25,male,majority,university,middle class,0,0,10238
241973,241973,65+,female,majority,high school,upper class,1,0,10238
429503,429503,16-25,male,majority,high school,poverty,0,1,10238
810013,810013,16-25,male,majority,university,working class,0,0,10238
663458,663458,16-25,female,majority,high school,poverty,0,0,10238
879976,879976,16-25,male,majority,high school,working class,1,1,32765
418841,418841,16-25,male,minority,none,poverty,1,0,32765
542236,542236,26-39,male,minority,none,working class,0,0,10238
937573,937573,40-64,male,majority,university,upper class,1,1,32765
670850,670850,16-25,male,majority,university,working class,0,0,10238
151252,151252,16-25,male,majority,university,middle class,1,0,10238
706349,706349,65+,male,majority,university,upper class,1,1,10238
602998,602998,65+,male,majority,none,working class,1,0,10238
242772,242772,26-39,female,majority,none,middle class,0,1,10238
380740,380740,65+,male,majority,university,upper class,1,1,10238
727943,727943,16-25,male,majority,university,middle class,0,0,10238
261229,261229,16-25,male,majority,university,working class,0,1,32765
60866,60866,65+,male,majority,university,upper class,0,1,10238
752797,752797,40-64,female,majority,high school,working class,0,0,10238
45002,45002,65+,male,majority,high school,upper class,1,1,10238
482448,482448,16-25,male,majority,none,poverty,0,0,32765
549142,549142,16-25,male,majority,university,middle class,1,1,10238
95138,95138,40-64,male,majority,high school,middle class,1,0,10238
615991,615991,40-64,female,majority,high school,upper class,1,1,10238
807847,807847,65+,male,majority,university,upper class,0,1,10238
758983,758983,40-64,male,majority,high school,middle class,1,0,32765
987114,987114,26-39,female,majority,university,middle class,0,0,10238
873457,873457,40-64,male,minority,high school,middle class,1,1,10238
699703,699703,65+,female,majority,university,upper class,1,1,92101
563342,563342,65+,female,majority,university,upper class,0,1,10238
284106,284106,65+,male,majority,university,upper class,1,1,10238
78189,78189,16-25,female,majority,none,poverty,0,0,32765
427520,427520,26-39,male,majority,university,middle class,0,0,10238
689030,689030,40-64,female,majority,university,upper class,1,0,92101
966467,966467,65+,male,majority,university,upper class,1,1,10238
288712,288712,65+,male,majority,university,upper class,1,1,10238
228114,228114,26-39,male,majority,high school,working class,1,1,10238
63715,63715,65+,male,majority,university,upper class,0,1,10238
624077,624077,65+,female,majority,none,upper class,1,1,32765
726352,726352,26-39,male,minority,none,poverty,1,1,10238
792396,792396,65+,female,majority,university,upper class,1,1,10238
768933,768933,40-64,male,minority,high school,working class,0,1,10238
579336,579336,65+,female,majority,university,upper class,1,1,10238
648922,648922,16-25,male,majority,university,middle class,0,0,10238
47909,47909,65+,male,majority,university,upper class,1,1,10238
619577,619577,65+,female,majority,university,upper class,0,1,92101
212678,212678,65+,female,majority,university,upper class,0,1,32765
995884,995884,40-64,female,majority,university,upper class,1,0,10238
226326,226326,40-64,female,minority,university,working class,0,0,10238
943922,943922,26-39,male,majority,university,upper class,1,1,32765
510116,510116,40-64,male,majority,high school,middle class,0,1,10238
536546,536546,16-25,female,majority,university,middle class,1,1,10238
75592,75592,40-64,female,majority,high school,working class,0,1,10238
936820,936820,26-39,female,majority,high school,working class,0,1,32765
634050,634050,65+,male,majority,university,upper class,1,1,10238
558748,558748,65+,female,majority,university,upper class,1,1,10238
856630,856630,16-25,female,majority,high school,middle class,0,0,32765
200009,200009,65+,male,majority,university,upper class,1,1,10238
792252,792252,40-64,female,majority,university,upper class,0,1,10238
462586,462586,26-39,male,majority,none,working class,0,1,10238
577965,577965,65+,male,majority,high school,middle class,0,1,10238
896587,896587,65+,female,majority,high school,upper class,0,1,10238
431538,431538,16-25,male,majority,high school,poverty,1,0,10238
164516,164516,16-25,male,majority,high school,poverty,0,0,10238
479577,479577,40-64,female,majority,university,upper class,1,1,10238
938476,938476,26-39,male,minority,high school,middle class,1,1,32765
112454,112454,26-39,male,majority,none,poverty,1,1,32765
91246,91246,26-39,male,majority,high school,working class,1,1,10238
2743,2743,26-39,female,majority,none,working class,1,0,21217
248888,248888,40-64,male,majority,high school,middle class,0,1,32765
195523,195523,16-25,male,majority,high school,poverty,0,0,10238
981926,981926,40-64,female,majority,university,upper class,0,1,10238
593426,593426,40-64,male,majority,university,middle class,0,1,32765
235574,235574,65+,female,majority,university,upper class,1,1,10238
440993,440993,16-25,male,majority,university,working class,0,0,10238
446993,446993,16-25,male,majority,high school,poverty,0,0,10238
301242,301242,26-39,female,majority,university,middle class,0,1,10238
7722,7722,26-39,female,minority,high school,poverty,0,1,10238
123443,123443,26-39,male,majority,university,upper class,1,1,10238
112143,112143,16-25,female,majority,none,working class,0,1,32765
912138,912138,26-39,male,majority,university,working class,1,1,32765
601305,601305,65+,female,majority,university,upper class,1,1,10238
602274,602274,16-25,female,majority,high school,middle class,0,0,92101
352099,352099,26-39,male,majority,none,middle class,0,1,10238
660400,660400,16-25,male,majority,high school,poverty,0,1,10238
267614,267614,16-25,female,majority,university,upper class,0,1,10238
974380,974380,40-64,female,majority,high school,upper class,0,1,32765
346585,346585,26-39,female,majority,high school,upper class,1,0,10238
536135,536135,26-39,male,majority,high school,middle class,1,1,92101
75569,75569,40-64,female,majority,high school,upper class,1,0,10238
645135,645135,40-64,female,majority,high school,upper class,1,1,10238
421596,421596,65+,male,majority,university,upper class,1,1,10238
164636,164636,26-39,female,majority,university,upper class,1,1,21217
405100,405100,26-39,male,majority,high school,working class,1,0,10238
315223,315223,40-64,female,majority,high school,middle class,0,0,92101
628723,628723,40-64,female,majority,high school,middle class,0,1,10238
483693,483693,16-25,female,majority,high school,working class,0,1,32765
416795,416795,40-64,female,majority,high school,middle class,0,1,32765
712973,712973,16-25,female,majority,none,poverty,0,0,10238
755061,755061,16-25,female,minority,high school,poverty,0,0,10238
162614,162614,65+,male,majority,university,upper class,1,1,10238
466761,466761,40-64,female,majority,university,upper class,1,1,10238
498232,498232,16-25,male,minority,high school,middle class,0,1,32765
170391,170391,65+,female,majority,high school,upper class,1,1,10238
918640,918640,40-64,male,majority,high school,upper class,1,1,32765
273764,273764,40-64,female,majority,university,upper class,1,1,10238
344228,344228,65+,male,majority,university,upper class,1,0,10238
809278,809278,40-64,female,majority,none,working class,0,1,32765
128369,128369,40-64,male,majority,university,upper class,1,1,32765
194925,194925,16-25,female,majority,high school,poverty,0,1,10238
303507,303507,16-25,female,majority,high school,poverty,1,1,10238
244931,244931,65+,male,majority,university,upper class,1,1,10238
570030,570030,16-25,female,majority,none,poverty,0,1,10238
918038,918038,26-39,female,majority,none,poverty,0,0,10238
102325,102325,16-25,female,majority,university,poverty,0,0,10238
761911,761911,40-64,male,majority,none,poverty,0,1,32765
271656,271656,26-39,female,majority,high school,upper class,1,1,32765
820690,820690,65+,male,majority,university,upper class,1,1,10238
622930,622930,16-25,female,majority,high school,working class,0,0,10238
81394,81394,16-25,male,majority,none,poverty,0,1,10238
373844,373844,26-39,male,majority,university,upper class,0,1,32765
368392,368392,16-25,male,majority,none,poverty,0,1,10238
447175,447175,16-25,female,majority,high school,working class,0,0,10238
182095,182095,40-64,male,majority,university,middle class,1,1,10238
451696,451696,26-39,female,majority,high school,upper class,0,1,10238
617007,617007,40-64,male,majority,university,upper class,1,1,10238
560773,560773,40-64,male,majority,university,upper class,1,0,10238
438008,438008,40-64,female,majority,high school,upper class,0,0,10238
212573,212573,16-25,female,minority,high school,poverty,0,0,10238
492516,492516,65+,female,majority,university,upper class,1,1,10238
538225,538225,16-25,female,majority,none,poverty,1,1,10238
658402,658402,65+,female,majority,university,upper class,0,1,10238
325516,325516,65+,female,majority,none,middle class,1,1,10238
905750,905750,40-64,male,majority,none,middle class,1,1,32765
107029,107029,40-64,male,majority,university,upper class,0,1,10238
124204,124204,16-25,female,majority,none,poverty,0,0,10238
968669,968669,65+,female,majority,university,upper class,1,1,32765
993267,993267,26-39,female,majority,high school,poverty,0,0,10238
423938,423938,65+,male,majority,high school,upper class,1,0,32765
125168,125168,16-25,male,majority,high school,working class,0,0,10238
525386,525386,65+,female,majority,university,upper class,1,1,10238
500215,500215,65+,female,majority,high school,upper class,0,1,10238
572994,572994,40-64,male,majority,university,upper class,1,1,10238
319953,319953,26-39,female,minority,none,poverty,1,0,10238
487355,487355,40-64,male,majority,high school,working class,0,1,10238
232470,232470,16-25,male,majority,university,poverty,0,1,10238
565198,565198,16-25,male,majority,none,poverty,0,1,10238
371727,371727,26-39,male,majority,university,upper class,0,1,10238
613091,613091,65+,female,majority,high school,upper class,1,1,32765
88882,88882,26-39,female,majority,high school,working class,1,1,10238
351757,351757,26-39,female,majority,none,working class,1,1,21217
735929,735929,16-25,male,majority,high school,poverty,0,1,10238
224890,224890,40-64,male,majority,high school,upper class,0,0,10238
864601,864601,16-25,male,majority,high school,poverty,0,0,10238
485798,485798,16-25,female,majority,high school,poverty,0,0,10238
733833,733833,16-25,male,majority,university,middle class,1,1,92101
750465,750465,26-39,female,majority,none,working class,0,1,10238
660556,660556,65+,male,majority,none,working class,1,1,10238
28109,28109,40-64,male,majority,university,upper class,1,0,32765
219960,219960,40-64,female,majority,high school,middle class,0,0,10238
76297,76297,40-64,male,majority,university,upper class,1,1,92101
403707,403707,40-64,female,minority,high school,middle class,0,1,32765
792734,792734,40-64,female,majority,university,upper class,1,1,10238
519764,519764,65+,male,majority,none,middle class,0,1,32765
912172,912172,16-25,male,majority,university,upper class,1,1,32765
560068,560068,26-39,male,majority,high school,working class,1,0,10238
126077,126077,26-39,female,majority,university,upper class,0,1,10238
220269,220269,65+,female,majority,university,upper class,0,1,10238
856902,856902,26-39,female,majority,high school,middle class,0,1,10238
241888,241888,16-25,male,majority,university,poverty,0,1,32765
908199,908199,26-39,female,majority,university,upper class,0,0,10238
373218,373218,40-64,female,minority,high school,working class,0,0,10238
313500,313500,40-64,male,majority,high school,middle class,1,1,10238
919241,919241,65+,male,majority,high school,upper class,1,1,32765
647888,647888,40-64,female,majority,none,working class,0,0,10238
161832,161832,40-64,female,majority,none,working class,1,1,10238
476769,476769,40-64,male,majority,university,middle class,1,1,10238
447424,447424,40-64,male,majority,high school,middle class,0,0,10238
201707,201707,40-64,male,majority,high school,middle class,0,1,32765
903320,903320,16-25,male,majority,high school,poverty,1,0,10238
486639,486639,16-25,male,majority,university,middle class,1,1,32765
252686,252686,26-39,male,majority,university,middle class,0,0,32765
233200,233200,26-39,female,majority,university,middle class,0,0,10238
667165,667165,40-64,female,majority,university,upper class,1,0,32765
950296,950296,65+,female,majority,high school,upper class,0,1,21217
243888,243888,26-39,male,majority,none,poverty,0,0,10238
605896,605896,26-39,female,majority,none,poverty,0,1,32765
871858,871858,26-39,male,minority,high school,poverty,0,1,10238
319494,319494,65+,female,majority,high school,upper class,1,1,10238
959164,959164,16-25,male,majority,university,middle class,0,0,10238
675192,675192,40-64,male,majority,none,middle class,0,0,10238
546719,546719,40-64,male,majority,high school,working class,1,1,10238
96803,96803,40-64,female,majority,university,upper class,1,0,32765
37956,37956,26-39,female,majority,high school,middle class,0,1,32765
739932,739932,16-25,female,majority,high school,poverty,1,1,32765
103308,103308,65+,female,majority,university,upper class,1,1,32765
824793,824793,26-39,male,majority,none,working class,0,1,32765
487034,487034,26-39,male,majority,high school,middle class,0,0,10238
253078,253078,26-39,female,majority,high school,middle class,1,0,10238
587387,587387,26-39,male,majority,high school,working class,1,1,10238
334556,334556,26-39,male,majority,university,upper class,0,1,10238
732295,732295,40-64,female,majority,university,upper class,0,0,10238
933941,933941,26-39,male,majority,high school,poverty,0,1,10238
871263,871263,65+,female,majority,university,upper class,1,1,10238
864717,864717,65+,male,majority,high school,upper class,0,1,92101
565346,565346,16-25,female,majority,high school,working class,0,0,32765
718626,718626,26-39,male,majority,university,upper class,0,1,10238
921816,921816,40-64,female,majority,high school,upper class,1,1,10238
431031,431031,26-39,male,majority,none,working class,1,0,10238
200636,200636,26-39,male,majority,high school,middle class,0,1,10238
22475,22475,40-64,female,majority,high school,middle class,1,0,10238
254814,254814,26-39,male,majority,high school,working class,0,1,32765
799392,799392,16-25,female,majority,university,working class,0,1,32765
408048,408048,40-64,female,minority,high school,upper class,1,1,10238
312015,312015,40-64,female,majority,university,upper class,0,0,10238
280243,280243,40-64,female,majority,high school,upper class,1,0,10238
161784,161784,26-39,female,majority,none,poverty,1,1,10238
979772,979772,65+,female,majority,university,upper class,1,1,32765
297613,297613,40-64,female,majority,university,upper class,0,1,10238
178142,178142,26-39,male,majority,university,upper class,1,1,10238
622497,622497,26-39,male,majority,high school,middle class,0,1,10238
342957,342957,40-64,female,minority,university,upper class,1,1,10238
821985,821985,65+,male,majority,university,upper class,1,1,10238
810334,810334,65+,female,majority,university,upper class,1,1,10238
818305,818305,26-39,male,majority,university,upper class,1,1,92101
586430,586430,26-39,male,majority,university,upper class,1,1,10238
662672,662672,40-64,female,majority,high school,working class,0,0,10238
770081,770081,26-39,female,majority,university,middle class,0,0,10238
787457,787457,26-39,female,majority,high school,middle class,0,1,10238
527739,527739,26-39,male,majority,university,upper class,0,0,10238
571298,571298,65+,male,majority,university,upper class,1,1,10238
701289,701289,40-64,female,majority,university,upper class,0,1,10238
879256,879256,16-25,female,majority,none,working class,0,1,10238
649732,649732,40-64,male,minority,high school,upper class,1,1,10238
855779,855779,40-64,female,majority,high school,upper class,0,1,10238
625532,625532,26-39,male,majority,none,working class,1,0,10238
3025,3025,65+,female,minority,university,upper class,1,1,32765
683267,683267,65+,female,majority,high school,upper class,1,1,10238
969959,969959,26-39,male,minority,high school,working class,0,1,10238
912505,912505,26-39,male,majority,university,middle class,0,0,92101
298912,298912,65+,female,majority,university,upper class,0,0,10238
336753,336753,65+,male,majority,high school,working class,1,1,10238
667341,667341,16-25,male,majority,high school,poverty,0,0,10238
790649,790649,40-64,female,majority,none,middle class,1,1,10238
967869,967869,40-64,female,majority,none,upper class,1,1,32765
806032,806032,16-25,female,majority,none,poverty,0,0,10238
648666,648666,26-39,female,majority,university,middle class,1,0,10238
21860,21860,16-25,female,majority,high school,working class,0,0,32765
983493,983493,26-39,female,minority,none,middle class,1,1,32765
916881,916881,26-39,male,majority,high school,working class,0,1,10238
381852,381852,65+,male,minority,university,upper class,0,1,92101
937208,937208,65+,female,majority,university,upper class,1,1,10238
95412,95412,40-64,male,minority,high school,upper class,1,1,10238
157650,157650,26-39,male,majority,none,middle class,1,0,10238
84004,84004,40-64,female,majority,university,upper class,1,1,10238
46700,46700,40-64,male,majority,university,upper class,1,0,10238
650982,650982,40-64,male,majority,high school,upper class,0,1,10238
495635,495635,40-64,female,majority,high school,middle class,1,1,10238
471169,471169,26-39,male,majority,high school,upper class,0,1,10238
725883,725883,40-64,female,majority,university,upper class,1,1,92101
425246,425246,40-64,male,majority,university,upper class,1,1,10238
887542,887542,40-64,male,majority,university,middle class,1,1,10238
541272,541272,40-64,male,majority,high school,middle class,1,1,10238
826670,826670,40-64,female,majority,university,upper class,1,1,32765
574624,574624,26-39,male,majority,high school,working class,0,1,32765
453895,453895,65+,female,majority,high school,upper class,0,1,10238
111851,111851,65+,female,majority,high school,middle class,1,1,10238
47628,47628,26-39,female,minority,university,working class,1,0,10238
708828,708828,40-64,female,minority,high school,upper class,1,1,10238
819883,819883,40-64,male,majority,none,working class,0,1,32765
232634,232634,16-25,male,majority,none,middle class,0,0,32765
892258,892258,65+,male,majority,university,upper class,1,1,32765
243010,243010,16-25,male,majority,university,poverty,0,1,10238
368602,368602,65+,male,majority,high school,upper class,1,1,10238
623636,623636,26-39,female,majority,university,upper class,1,1,10238
757103,757103,26-39,female,majority,high school,poverty,0,0,10238
375862,375862,65+,female,majority,university,upper class,1,1,32765
732956,732956,26-39,female,minority,high school,middle class,0,0,10238
774402,774402,26-39,male,majority,none,working class,1,1,10238
656626,656626,26-39,male,majority,university,middle class,0,1,10238
816938,816938,16-25,male,majority,high school,working class,1,1,10238
440294,440294,40-64,male,majority,high school,middle class,0,1,10238
792276,792276,65+,male,majority,high school,upper class,1,1,10238
951251,951251,40-64,female,minority,none,upper class,1,0,32765
395570,395570,40-64,female,majority,university,working class,0,0,10238
736323,736323,26-39,female,minority,none,poverty,1,1,10238
725583,725583,40-64,male,majority,university,upper class,0,1,10238
954412,954412,16-25,male,majority,high school,poverty,0,1,10238
931629,931629,26-39,male,majority,high school,working class,0,0,10238
255230,255230,65+,male,majority,high school,upper class,0,1,10238
31403,31403,26-39,female,majority,high school,working class,1,0,10238
136957,136957,16-25,female,majority,university,middle class,1,1,10238
58535,58535,26-39,male,majority,university,middle class,1,1,10238
592584,592584,26-39,female,majority,high school,middle class,1,1,10238
263154,263154,26-39,female,minority,high school,working class,0,0,10238
842364,842364,26-39,female,majority,university,middle class,0,0,10238
687419,687419,26-39,male,majority,university,upper class,1,1,10238
306684,306684,16-25,female,majority,none,poverty,0,0,10238
883009,883009,26-39,male,majority,university,upper class,1,1,10238
74704,74704,40-64,female,majority,university,upper class,0,0,10238
142973,142973,16-25,female,majority,high school,poverty,0,0,10238
100513,100513,65+,male,majority,high school,upper class,1,1,10238
984062,984062,16-25,female,majority,high school,working class,0,0,10238
538916,538916,16-25,female,majority,high school,poverty,0,0,32765
881409,881409,65+,male,majority,university,upper class,0,1,10238
967125,967125,65+,female,majority,university,upper class,1,1,10238
530396,530396,16-25,female,minority,high school,middle class,0,0,10238
456215,456215,26-39,male,majority,university,upper class,0,0,32765
464357,464357,65+,male,minority,university,upper class,1,1,10238
28229,28229,16-25,male,majority,university,middle class,0,1,10238
577557,577557,26-39,male,majority,university,working class,0,0,10238
29218,29218,16-25,male,majority,none,poverty,0,0,92101
850080,850080,40-64,female,majority,university,upper class,0,0,10238
851438,851438,26-39,male,majority,high school,working class,1,1,32765
75241,75241,26-39,female,majority,none,poverty,0,1,92101
292051,292051,26-39,female,majority,none,poverty,0,0,10238
155114,155114,16-25,male,majority,university,working class,1,1,10238
786259,786259,26-39,male,majority,high school,upper class,1,1,32765
444073,444073,16-25,male,minority,high school,working class,1,0,92101
55182,55182,26-39,female,majority,high school,working class,0,0,32765
611274,611274,26-39,male,minority,none,poverty,0,0,10238
97079,97079,40-64,male,minority,none,poverty,0,1,32765
178185,178185,26-39,female,majority,high school,working class,0,0,10238
857849,857849,40-64,female,majority,high school,upper class,1,1,10238
26255,26255,40-64,female,majority,university,upper class,0,1,32765
787417,787417,16-25,male,majority,none,poverty,0,0,10238
993623,993623,16-25,male,majority,none,poverty,0,1,10238
372474,372474,40-64,female,majority,high school,upper class,1,0,10238
106981,106981,26-39,female,majority,university,middle class,1,1,92101
220243,220243,65+,female,majority,university,upper class,1,1,10238
784778,784778,40-64,male,majority,university,upper class,1,1,32765
278151,278151,26-39,male,majority,university,middle class,0,1,10238
481388,481388,16-25,male,majority,none,working class,0,1,10238
827198,827198,40-64,male,majority,university,upper class,1,1,32765
55712,55712,26-39,female,majority,high school,upper class,0,0,10238
748080,748080,26-39,female,majority,high school,upper class,0,0,32765
877703,877703,26-39,female,majority,high school,middle class,1,1,10238
402240,402240,65+,male,majority,university,upper class,1,1,32765
191449,191449,16-25,female,majority,none,working class,0,1,10238
304034,304034,65+,male,majority,university,upper class,1,1,10238
915799,915799,40-64,male,majority,high school,middle class,1,1,10238
580249,580249,65+,male,majority,high school,upper class,1,1,10238
166102,166102,40-64,male,minority,high school,upper class,1,1,10238
455260,455260,26-39,female,majority,high school,working class,1,1,32765
137502,137502,40-64,male,majority,university,upper class,1,1,10238
147076,147076,16-25,female,majority,university,working class,0,1,10238
447397,447397,40-64,male,majority,university,upper class,0,0,10238
968169,968169,26-39,female,majority,high school,middle class,0,1,10238
573424,573424,26-39,female,majority,none,middle class,0,0,32765
94746,94746,16-25,male,majority,none,poverty,0,0,10238
858153,858153,40-64,male,majority,university,upper class,1,1,10238
658967,658967,16-25,female,majority,university,working class,0,0,32765
829242,829242,40-64,male,majority,none,working class,1,1,10238
57521,57521,40-64,female,majority,university,upper class,1,0,10238
389871,389871,26-39,male,majority,university,upper class,1,1,10238
766476,766476,40-64,female,majority,high school,poverty,0,1,10238
37701,37701,26-39,male,minority,high school,poverty,0,1,10238
678182,678182,16-25,male,majority,university,middle class,0,0,32765
357428,357428,40-64,female,majority,university,upper class,1,1,10238
16345,16345,16-25,male,majority,university,upper class,0,0,32765
380072,380072,26-39,male,majority,none,working class,0,0,10238
202978,202978,26-39,male,majority,none,working class,0,0,10238
444245,444245,65+,male,minority,university,upper class,1,1,10238
672478,672478,26-39,male,minority,university,upper class,1,0,32765
284939,284939,65+,female,majority,university,upper class,1,1,10238
385568,385568,40-64,female,majority,none,middle class,1,1,32765
769261,769261,26-39,female,majority,high school,upper class,1,1,10238
559890,559890,40-64,female,majority,university,upper class,0,1,32765
326316,326316,40-64,female,majority,university,upper class,1,1,32765
574525,574525,16-25,female,majority,high school,poverty,0,0,10238
44924,44924,40-64,male,majority,university,upper class,1,1,10238
877892,877892,40-64,female,majority,high school,upper class,0,1,10238
790141,790141,40-64,male,majority,university,middle class,0,0,10238
236395,236395,26-39,female,majority,none,poverty,0,1,10238
856269,856269,40-64,male,majority,university,middle class,1,1,92101
979902,979902,16-25,female,majority,high school,poverty,0,0,10238
734217,734217,65+,male,majority,university,upper class,1,1,10238
103367,103367,40-64,male,majority,none,middle class,1,1,10238
946258,946258,65+,female,majority,university,upper class,1,1,10238
108490,108490,16-25,male,majority,none,poverty,0,0,10238
35975,35975,16-25,male,majority,university,middle class,0,0,10238
286318,286318,40-64,female,majority,university,middle class,1,0,10238
333970,333970,40-64,male,majority,university,middle class,0,1,10238
145697,145697,65+,male,majority,university,upper class,1,1,32765
826708,826708,26-39,male,minority,university,upper class,0,0,10238
334482,334482,16-25,female,minority,none,working class,0,0,10238
803266,803266,26-39,female,majority,high school,upper class,0,0,32765
19261,19261,16-25,female,majority,high school,working class,0,0,10238
291075,291075,40-64,male,majority,university,upper class,0,1,10238
433426,433426,16-25,female,minority,high school,working class,0,0,10238
289772,289772,40-64,male,majority,none,working class,1,1,10238
927179,927179,40-64,female,majority,none,poverty,0,1,10238
976974,976974,16-25,female,majority,high school,middle class,1,0,32765
615312,615312,26-39,female,majority,high school,upper class,0,1,10238
456321,456321,40-64,female,majority,none,poverty,0,1,10238
775,775,65+,female,majority,university,upper class,1,1,10238
620196,620196,40-64,male,majority,high school,upper class,1,1,10238
510560,510560,26-39,female,minority,none,working class,0,0,10238
631945,631945,65+,male,majority,university,upper class,1,1,10238
457682,457682,16-25,female,majority,high school,poverty,0,0,10238
202964,202964,26-39,male,majority,high school,poverty,1,1,10238
2375,2375,26-39,male,majority,high school,middle class,0,0,10238
730415,730415,26-39,female,majority,university,middle class,0,1,10238
749543,749543,16-25,female,majority,university,working class,0,0,10238
930990,930990,26-39,female,majority,high school,middle class,0,0,10238
455333,455333,16-25,female,majority,high school,middle class,1,1,32765
738554,738554,16-25,female,majority,none,poverty,0,0,10238
378210,378210,26-39,female,majority,none,poverty,0,0,32765
